"Title","Year","Description","Directors","Collections","Duration","Actors"
"Bacurau (2019)","2019","A few years from now . . . As Bacurau, a small town in the Brazilian sertão, mourns the loss of its ninety-four-year-old matriarch, its inhabitants (among them national cinema icon Sônia Braga) begin to notice a series of strange happenings: their village has literally vanished from online maps, cell phones have stopped working, and a UFO-like drone hovers menacingly overhead. An ominous force is converging on Bacurau, an unknown threat that will force the community to band together and fight for its survival. Luckily, the resourceful residents are more than up for the challenge. A blistering sci-fi thriller streaked with antiracist and anticolonialist rage, the new film from AQUARIUS director Kleber Mendonça Filho, codirected with Juliano Dornelles, is an audacious, furiously entertaining model of genre art as a vehicle for political resistance.<LF>","Kleber Mendonça Filho; Juliano Dornelles","Collection:Bacurau","2:11:23","Sônia Braga; Udo Kier; Bárbara Colen"
"Kleber Mendonça Filho and Juliano Dornelles on BACURAU","0","This interview with directors Kleber Mendonça Filho and Juliano Dornelles was recorded in 2020.<LF>","","Collection:Bacurau","9:34",""
"Black Narcissus (1947)","1947","This explosive work about the conflict between the spirit and the flesh is the epitome of the sensuous style of Michael Powell and Emeric Pressburger. A group of nuns—played by some of Britain’s finest actresses, including Deborah Kerr, Kathleen Byron, and Flora Robson—struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad. A darkly grand film that won Oscars for Alfred Junge's art direction and Jack Cardiff's cinematography, BLACK NARCISSUS is one of the greatest achievements by two of cinema’s true visionaries.<LF>","Michael Powell; Emeric Pressburger","Collection:Black Narcissus","1:41:06","Deborah Kerr; Sabu; David Farrar"
"Black Orpheus (1959)","1959","Winner of both the Academy Award for best foreign-language film and the Cannes Film Festival’s Palme d’Or, Marcel Camus’ BLACK ORPHEUS (ORFEU NEGRO) brings the ancient Greek myth of Orpheus and Eurydice to the twentieth-century madness of Carnival in Rio de Janeiro. With its eye-popping photography and ravishing, epochal soundtrack, BLACK ORPHEUS was an international cultural event, and it kicked off the bossa nova craze that set hi-fis across America spinning.<LF>","Marcel Camus","Collection:Black Orpheus","1:47:40","Breno Mello; Marpessa Dawn; Lourdes de Oliveira"
"Marcel Camus on BLACK ORPHEUS","0","The following interview with filmmaker Marcel Camus was recorded during the 1959 Cannes Film Festival, where BLACK ORPHEUS ultimately won the Palme d’Or. The interview was conducted by François Chalais for the French television program “Reflets de Cannes” and originally broadcast on May 10, 1959.<LF>","","Collection:Black Orpheus","3:39",""
"Brazil (1985)","1985","In the dystopian masterpiece BRAZIL, Jonathan Pryce plays a daydreaming everyman who finds himself caught in the soul-crushing gears of a nightmarish bureaucracy. This cautionary tale by Terry Gilliam, one of the great films of the 1980s, has come to be esteemed alongside antitotalitarian works by the likes of George Orwell, Aldous Huxley, and Kurt Vonnegut Jr. And in terms of set design, cinematography, music, and effects, BRAZIL is a nonstop dazzler.<LF>","Terry Gilliam","Collection:Brazil","2:23:33","Jonathan Pryce; Robert De Niro; Kim Greist"
"Brief Encounter (1945) (FC)","0","After a chance meeting on a train platform, a married doctor (Trevor Howard) and a suburban housewife (Celia Johnson) begin a muted but passionate, and ultimately doomed, love affair. With its evocatively fog-enshrouded setting, swooning Rachmaninoff score, and pair of remarkable performances (Johnson was nominated for an Oscar), this film, directed by David Lean and based on Noël Coward’s play “Still Life” deftly explores the thrill, pain, and tenderness of an illicit romance, and has influenced many a cinematic brief encounter since its release.<LF>","","Collection:Brief Encounter","0:05",""
"Mustang (2015)","2015","Deniz Gamze Ergüven’s stunning debut feature is an exhilarating immersion into the world of a spirited Turkish girl and her four teenage sisters, who are placed under virtual lockdown and threatened with the prospect of arranged marriages after they are accused of indecency by their conservative family. Rebelling against their oppressive home life, the girls find strength in one another as they begin to plot their escape. Unfolding with raw, heart-pounding immediacy, MUSTANG is both a stinging indictment of patriarchal misogyny and a joyous celebration of sisterly bonds.<LF>","Deniz Gamze Ergüven","Collection:Mustang","1:37:15","Günes Sensoy; Doga Zeynep Doguslu; Tugba Sunguroglu"
"Once Upon a Time . . . MUSTANG","0","This 2015 documentary by Amine Mestari delves deep into Deniz Gamze Ergüven’s film MUSTANG, featuring extensive interviews with the director and cast, as well as exploring the film in the context of the politically volatile situation in Turkey.<LF>","Amine Mestari","Collection:Mustang","53:01",""
"Stromboli (1950)","1950","The first collaboration between Roberto Rossellini and Ingrid Bergman is a devastating portrait of a woman's existential crisis, set against the beautiful and forbidding backdrop of a volcanic island. After World War II, a Lithuanian refugee (Bergman) marries a simple Italian fisherman (Mario Vitale) she meets in a prisoner of war camp and accompanies him back to his isolated village on an island off the coast of Sicily. Cut off from the world, she finds herself crumbling emotionally, but she is destined for a dramatic epiphany. Balancing the director's trademark neorealism-exemplified here in a remarkable depiction of the fishermen's lives and work-with deeply felt melodrama, STROMBOLI is a revelation.<LF>","Roberto Rossellini","Collection:Stromboli","1:46:33","Ingrid Bergman; Mario Vitale"
